key,Model,Arena Elo rating (anony),Arena Elo rating (full),MMMU,License,Organization,Link
imagenhub_Prompt2prompt_edition,imagenhub_Prompt2prompt_edition,1252.3647315415246,1218.707230382934,-,N/A,N/A,N/A
imagenhub_PNP_edition,imagenhub_PNP_edition,1177.8341494788954,1170.1761022508013,-,N/A,N/A,N/A
imagenhub_InstructPix2Pix_edition,imagenhub_InstructPix2Pix_edition,1154.9244239512598,1142.1558996715517,-,N/A,N/A,N/A
imagenhub_PlayGroundV2_generation,imagenhub_PlayGroundV2_generation,1151.1249217387294,1152.019106027852,-,N/A,N/A,N/A
imagenhub_PixArtAlpha_generation,imagenhub_PixArtAlpha_generation,1078.388246897492,1070.9245184059675,-,N/A,N/A,N/A
imagenhub_MagicBrush_edition,imagenhub_MagicBrush_edition,1050.3408831565746,1089.0170755069605,-,N/A,N/A,N/A
imagenhub_SDXL_generation,imagenhub_SDXL_generation,1027.1567638467538,1036.5527158252212,-,N/A,N/A,N/A
imagenhub_SDXLTurbo_generation,imagenhub_SDXLTurbo_generation,972.1020966199585,970.6781034841188,-,N/A,N/A,N/A
imagenhub_Pix2PixZero_edition,imagenhub_Pix2PixZero_edition,955.8102558224537,930.1322808235171,-,N/A,N/A,N/A
imagenhub_OpenJourney_generation,imagenhub_OpenJourney_generation,921.4434975260535,907.4712572949572,-,N/A,N/A,N/A
imagenhub_LCM_generation,imagenhub_LCM_generation,849.7844733710128,869.3914626032819,-,N/A,N/A,N/A
imagenhub_CycleDiffusion_edition,imagenhub_CycleDiffusion_edition,769.4365356574444,750.890148228151,-,N/A,N/A,N/A
imagenhub_SDEdit_edition,imagenhub_SDEdit_edition,639.2890203918478,698.9212631360851,-,N/A,N/A,N/A
